tweet,sentiment_label
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'2020 California Democratic Primary:\n\nJoe Biden: 26%\nBernie Sanders: 18%\nKamala Harris: 17%\nElizabeth Warren: 7% \nPe\xe2\x80\xa6 https://t.co/mCKhMJ46gc',Positive
b'RT @BecklerMardi: @mattyglesias @fredric_wertham Elizabeth Warren does and always has articulated her views and ideas very clearly. That is\xe2\x80\xa6',Positive
b'@mattyglesias @fredric_wertham Elizabeth Warren does and always has articulated her views and ideas very clearly. T\xe2\x80\xa6 https://t.co/LWhk74K1Ao',Positive
b'I would love to see the following (declared) Dem candidates debate Donald Trump:\n\nEric Swalwell\nElizabeth Warren\nKa\xe2\x80\xa6 https://t.co/nHwcH0TTCs',Positive
b"RT @HeraldRadio: #AUDIO: @HeraldRadio's #2020Vision w/ @hillarychabot &amp; @joebattenfeld. This wk, we are talking Sen. Elizabeth Warren\xe2\x80\x99s 202\xe2\x80\xa6",Neutral
b"#AUDIO: @HeraldRadio's #2020Vision w/ @hillarychabot &amp; @joebattenfeld. This wk, we are talking Sen. Elizabeth Warre\xe2\x80\xa6 https://t.co/EH0H0qurEj",Neutral
b'RT @HeraldRadio: LIVE NOW: @HeraldRadio listen in to our brand NEW show #2020Vision w/ @hillarychabot &amp; @joebattenfeld. This wk, we\xe2\x80\x99ll be t\xe2\x80\xa6',Positive
b'RT @HeraldRadio: LIVE NOW: @HeraldRadio listen in to our brand NEW show #2020Vision w/ @hillarychabot &amp; @joebattenfeld. This wk, we\xe2\x80\x99ll be t\xe2\x80\xa6',Positive
b'LIVE NOW: @HeraldRadio listen in to our brand NEW show #2020Vision w/ @hillarychabot &amp; @joebattenfeld. This wk, we\xe2\x80\x99\xe2\x80\xa6 https://t.co/nugzGrEVun',Positive
b'Senator and presidential hopeful Elizabeth Warren wants tech leaders to be held accountable when user data that the\xe2\x80\xa6 https://t.co/HbA5SeIFUP',Positive
b'Elizabeth Warren bets that slew of policy ideas will win over Trump-weary voters https://t.co/qqiswL1H9z via @wp &gt;\xe2\x80\xa6 https://t.co/zzhpjvk4rr',Positive
b'2020 Democratic Primary Voting Intention:\n\nJoe Biden: 32% (-1)\nBernie Sanders: 23% (-2)\nKamala Harris: 9% (+1)\nBeto\xe2\x80\xa6 https://t.co/p5TfzZn8LH',Positive
b'RT @PolStatsUS: South Carolina Democratic Primary (w/o Biden):\n\nBernie Sanders: 24%\nBeto O\xe2\x80\x99Rourke: 16%\nKamala Harris: 15%\nCory Booker: 12%\xe2\x80\xa6',Positive
