tweet,sentiment_label
b'Can Jay Inslee make climate change more than a campaign talking point?\nhttps://t.co/ceY7VGJ9Za #jayinslee\xe2\x80\xa6 https://t.co/KMtSb82ntO',Positive
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'RT @MelissaSantos1: ICYMI: I asked a jillion people if they are considering running for WA governor or AG in 2020. A bunch said yes, and I\xe2\x80\xa6',Neutral
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b'ICYMI: I asked a jillion people if they are considering running for WA governor or AG in 2020. A bunch said yes, an\xe2\x80\xa6 https://t.co/TAsRwS63vT',Neutral
b'I\xe2\x80\x99m primarily interested in the democratic women running for president, but I have to say that from among the pool\xe2\x80\xa6 https://t.co/dA1jGUaV6Y',Positive
b"@factsimile1 @krassenstein @Nancabell Ranking #Democrats #2020Election\nMy opinion \nKamala Harris\nJoe Biden\nBeto O'R\xe2\x80\xa6 https://t.co/VEtmiZtn6B",Neutral
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b'My latest straw poll ...\n\nElizabeth Warren\nKamala Harris\n:\nBernie Sanders\nEric Swalwell\nAmy Klobuchar\nSherrod Brown\xe2\x80\xa6 https://t.co/QeChhcyXXd',Positive
b'@Esz1257 Tell your Dad Jay Inslee is on Science Friday on NPR today. Talking Climate and the Presidency.\xe2\x80\xa6 https://t.co/BZkZXeebel',Neutral
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"RT @MelissaSantos1: NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed to @C\xe2\x80\xa6",Positive
b"NEW: Hey, it's not just Noah Purcell thinking about running for @AGOWA. @Dhingrama and @MLorenaGonzalez confirmed t\xe2\x80\xa6 https://t.co/0JLQ32ykMU",Positive
