tweet,sentiment_label
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'2020 California Democratic Primary:\n\nJoe Biden: 26%\nBernie Sanders: 18%\nKamala Harris: 17%\nElizabeth Warren: 7% \nPe\xe2\x80\xa6 https://t.co/mCKhMJ46gc',Positive
b'Who is @JulianCastro #2020election https://t.co/tXBRU7J4vA',Neutral
b"RT @OhioLatinx: Let's talk about Juli\xc3\xa1n Castro, the only Latinx #2020Election presidential hopeful &amp; his immigration platform from the pers\xe2\x80\xa6",Neutral
b'\xe2\x80\x9cI didn\xe2\x80\x99t grow up a front-runner,\xe2\x80\x9d @JulianCastro fights for the Latinx vote, media coverage #2020election https://t.co/jGOkySpNqW',Neutral
b'RT @a35362: 39:07 Juli\xc3\xa1n Castro full interview | Pod Save America\nhttps://t.co/nS8wAw6rqI #PodSaveAmerica #juliancastro #2020election https\xe2\x80\xa6',Positive
b'39:07 Juli\xc3\xa1n Castro full interview | Pod Save America\nhttps://t.co/nS8wAw6rqI #PodSaveAmerica #juliancastro\xe2\x80\xa6 https://t.co/E1IotzOQuh',Positive
b'39:07 Juli\xc3\xa1n Castro full interview | Pod Save America\nhttps://t.co/nS8wAw6rqI #PodSaveAmerica #juliancastro\xe2\x80\xa6 https://t.co/d89HSjO1i7',Positive
b'RT @BrainstormingN: #Politics Generational Candidates #2020Election\nGenX-\nKirsten Gillibrand 53\nCory Booker 50\nBeto O\xe2\x80\x99Rourke 47\nTim Ryan 46\xe2\x80\xa6',Neutral
b'#Politics Generational Candidates #2020Election\nGenX-\nKirsten Gillibrand 53\nCory Booker 50\nBeto O\xe2\x80\x99Rourke 47\nTim Rya\xe2\x80\xa6 https://t.co/edOalCfj3x',Neutral
b'@grumpygrumpyowl Hi! the unroll you asked for: Thread by @ConMijente: "It\xe2\x80\x99s time we talk about Juli\xc3\xa1n Castro, the o\xe2\x80\xa6 https://t.co/y9kg1utL6g',Neutral
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'2020 Presidential candidate Julian Castro started his campaign in Puerto Rico, but does he favor statehood?\n#PR51st\xe2\x80\xa6 https://t.co/Srlj9tWexN',Neutral
b'RT @a35362: 39:07 Juli\xc3\xa1n Castro full interview | Pod Save America\nhttps://t.co/nS8wAw6rqI #PodSaveAmerica #juliancastro #2020election https\xe2\x80\xa6',Positive
b'39:07 Juli\xc3\xa1n Castro full interview | Pod Save America\nhttps://t.co/nS8wAw6rqI #PodSaveAmerica #juliancastro\xe2\x80\xa6 https://t.co/ydYIly80IG',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
