tweet,sentiment_label
b'Can Progressives Forgive Kamala Harris Her Past Moderation?\nhttps://t.co/tYC52hmwgz #kamalaharris #2020election https://t.co/18cAAKzH6P',Negative
b"Awash in cash from Silicon Valley's plutocrats, Kamala Harris insists she's really there to help the little guy\xe2\x80\xa6 https://t.co/RFYdsM0YQB",Positive
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'2020 California Democratic Primary:\n\nJoe Biden: 26%\nBernie Sanders: 18%\nKamala Harris: 17%\nElizabeth Warren: 7% \nPe\xe2\x80\xa6 https://t.co/mCKhMJ46gc',Positive
b'I would love to see the following (declared) Dem candidates debate Donald Trump:\n\nEric Swalwell\nElizabeth Warren\nKa\xe2\x80\xa6 https://t.co/nHwcH0TTCs',Positive
b'Kamala Harris 2020 \xe2\x80\x93 On Higher Education And 6 Other Key Issues\n#2020election #election2020 #highered #Kamala2020\xe2\x80\xa6 https://t.co/QAYUhoQXws',Positive
b"RT @KyungLahCNN: How \xe2\x81\xa6@KamalaHarris\xe2\x81\xa9' death penalty decisions broke hearts on both sides: from a cop\xe2\x80\x99s widow speaks out about her belief th\xe2\x80\xa6",Neutral
b'Senator Corey Booker stated Mayor Pete Buttigieg was just "a white version of me" and is more popular b/c of racism\xe2\x80\xa6 https://t.co/GdaYzy1k32',Positive
b'2020 Democratic Primary Voting Intention:\n\nJoe Biden: 32% (-1)\nBernie Sanders: 23% (-2)\nKamala Harris: 9% (+1)\nBeto\xe2\x80\xa6 https://t.co/p5TfzZn8LH',Positive
b'This is the #real @KamalaHarris @SenKamalaHarris #UnitedStates - a #coldhearted #fraud who does not #care about the\xe2\x80\xa6 https://t.co/4Ib3OJNyH1',Positive
b'RT @MooPersists: Our America and our democracy is under attack. \nKAMALA HARRIS is speaking the truth and calling on us to do the same.\n\xe2\x9e\x96See\xe2\x80\xa6',Neutral
b"RT @KyungLahCNN: How \xe2\x81\xa6@KamalaHarris\xe2\x81\xa9' death penalty decisions broke hearts on both sides: from a cop\xe2\x80\x99s widow speaks out about her belief th\xe2\x80\xa6",Neutral
b"RT @KyungLahCNN: How \xe2\x81\xa6@KamalaHarris\xe2\x81\xa9' death penalty decisions broke hearts on both sides: from a cop\xe2\x80\x99s widow speaks out about her belief th\xe2\x80\xa6",Neutral
b"How \xe2\x81\xa6@KamalaHarris\xe2\x81\xa9' death penalty decisions broke hearts on both sides: from a cop\xe2\x80\x99s widow speaks out about her be\xe2\x80\xa6 https://t.co/MC1qoIYCc2",Neutral
b'RT @PolStatsUS: South Carolina Democratic Primary (w/o Biden):\n\nBernie Sanders: 24%\nBeto O\xe2\x80\x99Rourke: 16%\nKamala Harris: 15%\nCory Booker: 12%\xe2\x80\xa6',Positive
b'2020 Democratic Primary:\n\nJoe Biden: 36% (+5)\nBernie Sanders: 19% (+3)\nKamala Harris: 9% (+3)\nBeto O\xe2\x80\x99Rourke: 7% (+1\xe2\x80\xa6 https://t.co/WWWhdBIg54',Positive
b'South Carolina Democratic Primary (w/Biden and Abrams)\n\nJoe Biden: 32% (-5)\nBernie Sanders: 14% (-7)\nKamala Harris:\xe2\x80\xa6 https://t.co/Hr38m0cnTM',Positive
b'South Carolina Democratic Primary (w/o Biden):\n\nBernie Sanders: 24%\nBeto O\xe2\x80\x99Rourke: 16%\nKamala Harris: 15%\nCory Book\xe2\x80\xa6 https://t.co/LFUmGQrnaE',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'Not my 1st choice but #Democrats could do worse in #2020Election &amp; probably will.\n\n@TheAtlantic @lizweil: "\xe2\x80\xa6 https://t.co/yUrLYJPqVV',Negative
b'@UnplannedMovie @MPAA That\xe2\x80\x99s $$ Billion spelled with a \xe2\x80\x98B\xe2\x80\x99: \n\nDana Loesch slaps down Kamala Harris\xe2\x80\x99 gun-grabbing lo\xe2\x80\xa6 https://t.co/Y3Dk40ljUn',Negative
b'\xe2\x80\x9cWe\xe2\x80\x99re going to need somebody who knows how to prosecute the case against this president.\xe2\x80\x9d @KamalaHarris\xe2\x80\xa6 https://t.co/sWVAxhMG1W',Neutral
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
