tweet,sentiment_label
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b"@factsimile1 @krassenstein @Nancabell Ranking #Democrats #2020Election\nMy opinion \nKamala Harris\nJoe Biden\nBeto O'R\xe2\x80\xa6 https://t.co/VEtmiZtn6B",Neutral
b'RT @margiewarrell: Recommend watching @marwilliamson interview on @MSNBC on why she\xe2\x80\x99s running for president #2020Election  https://t.co/FE4\xe2\x80\xa6',Neutral
b'RT @margiewarrell: Recommend watching @marwilliamson interview on @MSNBC on why she\xe2\x80\x99s running for president #2020Election  https://t.co/FE4\xe2\x80\xa6',Neutral
b'RT @margiewarrell: Recommend watching @marwilliamson interview on @MSNBC on why she\xe2\x80\x99s running for president #2020Election  https://t.co/FE4\xe2\x80\xa6',Neutral
b'RT @margiewarrell: Recommend watching @marwilliamson interview on @MSNBC on why she\xe2\x80\x99s running for president #2020Election  https://t.co/FE4\xe2\x80\xa6',Neutral
b'RT @shahanalight: Let\xe2\x80\x99s get deep with Marianne Williamson. It\xe2\x80\x99s time for a new paradigm of leadership. 2 minute watch! Please donate to see\xe2\x80\xa6',Positive
b'RT @shahanalight: Let\xe2\x80\x99s get deep with Marianne Williamson. It\xe2\x80\x99s time for a new paradigm of leadership. 2 minute watch! Please donate to see\xe2\x80\xa6',Positive
b'RT @shahanalight: Let\xe2\x80\x99s get deep with Marianne Williamson. It\xe2\x80\x99s time for a new paradigm of leadership. 2 minute watch! Please donate to see\xe2\x80\xa6',Positive
b'RT @shahanalight: Let\xe2\x80\x99s get deep with Marianne Williamson. It\xe2\x80\x99s time for a new paradigm of leadership. 2 minute watch! Please donate to see\xe2\x80\xa6',Positive
b'RT @shahanalight: Let\xe2\x80\x99s get deep with Marianne Williamson. It\xe2\x80\x99s time for a new paradigm of leadership. 2 minute watch! Please donate to see\xe2\x80\xa6',Positive
b'RT @shahanalight: Let\xe2\x80\x99s get deep with Marianne Williamson. It\xe2\x80\x99s time for a new paradigm of leadership. 2 minute watch! Please donate to see\xe2\x80\xa6',Positive
b'Let\xe2\x80\x99s get deep with Marianne Williamson. It\xe2\x80\x99s time for a new paradigm of leadership. 2 minute watch! Please donate\xe2\x80\xa6 https://t.co/mCkHMvfVl0',Positive
