tweet,sentiment_label
b"Is 'Mayor Pete' too good to be true?\nhttps://t.co/SsjARYiMUL #mayorpete #petebuttigieg #2020election https://t.co/xMeH5r0b6G",Positive
b'Congratulations to Pete Buttigieg, a gay mayor from the #midwest for becoming an unlikely rising star in the #2020\xe2\x80\xa6 https://t.co/zBda3ivHb9',Positive
b'"The candidate started from the bottom and has officially arrived\xe2\x80\x94in the middle of the Democratic pack."\xe2\x80\xa6 https://t.co/RkXYWkLvs7',Neutral
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'2020 California Democratic Primary:\n\nJoe Biden: 26%\nBernie Sanders: 18%\nKamala Harris: 17%\nElizabeth Warren: 7% \nPe\xe2\x80\xa6 https://t.co/mCKhMJ46gc',Positive
b'Feud between @PeteButtigieg and @VP escalates #2020election https://t.co/v0mqjB6yMA',Neutral
b'RT Foxmental_X: #GotYourSix #2020election #Democrats #presidential #PeteForAmerica #Millennial #Millennials\xe2\x80\xa6 https://t.co/aIOJMLqzjL',Neutral
b'4:39 Pete Buttigieg is raising serious cash. Is he a serious 2020 contender?\nhttps://t.co/l6E4lmeJkr #2020election\xe2\x80\xa6 https://t.co/oOKbVCmAl3',Negative
b'I would love to see the following (declared) Dem candidates debate Donald Trump:\n\nEric Swalwell\nElizabeth Warren\nKa\xe2\x80\xa6 https://t.co/nHwcH0TTCs',Positive
b'"Forgive me if I like the idea of having someone in the White House who understands what I\xe2\x80\x99ve been through, and who\xe2\x80\xa6 https://t.co/73rNwAsJlA',Neutral
b'which #2020Election candidate had the best #CNNTownHall rating? I noticed less known candidates had lower ratings b\xe2\x80\xa6 https://t.co/ErppvhHtcO',Positive
b"Is 'Mayor Pete' too good to be true?\nhttps://t.co/SsjARYiMUL #mayorpete #petebuttigieg #2020election https://t.co/3LcDQ3bonH",Positive
b'#GotYourSix #2020election #Democrats #presidential #PeteForAmerica #Millennial #Millennials #VoteBlue\xe2\x80\xa6 https://t.co/lSShrHG92U',Neutral
