tweet,sentiment_label
b'White Working-Class Yoga Devotee Tim Ryan Joins Crowded 2020 Field\nhttps://t.co/5UhX9Btt4R #timryan #2020election https://t.co/lHgTj8b9Wn',Neutral
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'Tim Ryan is running for president. He wants to be the Democratic answer to Trump in the Midwest.\xe2\x80\xa6 https://t.co/VQ6M9mrc1V',Positive
b'Fueled by Union Cash, Tim Ryan Enters 2020 Democratic Primary\nhttps://t.co/JpPIZdOVHV #timryan #2020election #unions https://t.co/f4HlOmVvgP',Positive
b'Democratic Representative Tim Ryan is running for president as a champion of blue-collar workers. That and more on\xe2\x80\xa6 https://t.co/KQUEbtz8Pk',Positive
b'RT @BrainstormingN: #Politics Generational Candidates #2020Election\nGenX-\nKirsten Gillibrand 53\nCory Booker 50\nBeto O\xe2\x80\x99Rourke 47\nTim Ryan 46\xe2\x80\xa6',Neutral
b'#Politics Generational Candidates #2020Election\nGenX-\nKirsten Gillibrand 53\nCory Booker 50\nBeto O\xe2\x80\x99Rourke 47\nTim Rya\xe2\x80\xa6 https://t.co/edOalCfj3x',Neutral
b'RT @a35362: White Working-Class Yoga Devotee Tim Ryan Joins Crowded 2020 Field\nhttps://t.co/5UhX9Btt4R #timryan #2020election https://t.co/\xe2\x80\xa6',Neutral
b'White Working-Class Yoga Devotee Tim Ryan Joins Crowded 2020 Field\nhttps://t.co/5UhX9Btt4R #timryan #2020election https://t.co/1kLnTrj9Vn',Neutral
b'RT @a35362: Tim Ryan is running for president. He wants to be the Democratic answer to Trump in the Midwest.\nhttps://t.co/Zbys8rk02V #timry\xe2\x80\xa6',Positive
b'Tim Ryan is running for president. He wants to be the Democratic answer to Trump in the Midwest.\xe2\x80\xa6 https://t.co/8wMsCzAWH2',Positive
b'Tim Ryan and Eric Swalwell have announced their candidacy for President. I agree with Rep. Ryan on foreign policy b\xe2\x80\xa6 https://t.co/eHsYZT3Yap',Negative
b'White Working-Class Yoga Devotee Tim Ryan Joins Crowded 2020 Field\nhttps://t.co/5UhX9Btt4R #timryan #2020election https://t.co/ZNnGydlxMn',Neutral
b'Democratic Representative Tim Ryan is running for president as a champion of blue-collar workers. That and more on\xe2\x80\xa6 https://t.co/yny047P49s',Positive
b'Tim Ryan is running for president. He wants to be the Democratic answer to Trump in the Midwest.\xe2\x80\xa6 https://t.co/erjsClQvDA',Positive
b'Fueled by Union Cash, Tim Ryan Enters 2020 Democratic Primary\nhttps://t.co/JpPIZdOVHV #timryan #2020election #unions https://t.co/c0auhmgthi',Positive
b'RT @GreaterGoodSC: Our "Science of Happiness" Guinea Pig Tim Ryan just threw his hat into the presidential ring! Discover how compassion he\xe2\x80\xa6',Positive
b'Fueled by Union Cash, Tim Ryan Enters 2020 Democratic Primary\nhttps://t.co/JpPIZdOVHV #timryan #2020election #unions https://t.co/rTITqx8MpI',Positive
b'RT @a35362: Democratic Representative Tim Ryan is running for president as a champion of blue-collar workers. That and more on David A. Gra\xe2\x80\xa6',Positive
b'Democratic Representative Tim Ryan is running for president as a champion of blue-collar workers. That and more on\xe2\x80\xa6 https://t.co/SEniU5hNLu',Positive
b'Tim Ryan is running for president. He wants to be the Democratic answer to Trump in the Midwest.\xe2\x80\xa6 https://t.co/0i6MH88SvV',Positive
