tweet,sentiment_label
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'RT @BrainstormingN: #Politics Generational Candidates #2020Election\nGenX-\nKirsten Gillibrand 53\nCory Booker 50\nBeto O\xe2\x80\x99Rourke 47\nTim Ryan 46\xe2\x80\xa6',Neutral
b'#Politics Generational Candidates #2020Election\nGenX-\nKirsten Gillibrand 53\nCory Booker 50\nBeto O\xe2\x80\x99Rourke 47\nTim Rya\xe2\x80\xa6 https://t.co/edOalCfj3x',Neutral
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'Presidential candidate Tulsi Gabbard: "As a country, we have to have secure borders. Democrats and Republicans in t\xe2\x80\xa6 https://t.co/1fjRSRVAGh',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBet\xe2\x80\xa6 https://t.co/Ral4su42ru',Positive
b"@factsimile1 @krassenstein @Nancabell Ranking #Democrats #2020Election\nMy opinion \nKamala Harris\nJoe Biden\nBeto O'R\xe2\x80\xa6 https://t.co/VEtmiZtn6B",Neutral
b'Check out this 2020 election forecast via @270toWin https://t.co/r7neNsMbfP #2020election Gabbard vs. Trump. Tulsi\xe2\x80\xa6 https://t.co/cwwA4UaMAS',Neutral
b'"We would end our subsidies to these oil companies and basically eliminate the market for them" by transitioning to\xe2\x80\xa6 https://t.co/SayPdy5VvQ',Neutral
b'Lazy. Hypocritical. Unnecessary. Dont need to tear down people my  party. I prefer a buffet of fresh food to choose\xe2\x80\xa6 https://t.co/gJDfta9RFX',Negative
b'Tulsi Gabbard Tackles Her Toughest Questions LIVE!!! https://t.co/pQqUgKO9Fj via @YouTube #Tulsi2020 #2020Election #Election2020',Positive
b'Nevada Democratic Caucus\n@EmersonPolling\n3/28 - 3/30\n\nJoe Biden 26\nBernie Sanders 23\nBeto O\xe2\x80\x99Rourke 10\nElizabeth War\xe2\x80\xa6 https://t.co/RrmyZKpj0O',Neutral
